0	0
0	1
0	2
0	3
0	4
0	5
0	6
0	7
1	8
1	9
2	10
3	11
3	12
3	8
3	13
3	14
4	15
4	16
4	17
4	18
5	19
5	20
5	8
5	21
6	22
7	23
7	15
7	24
7	9
7	25
7	14
7	26
7	27
7	28
7	29
7	30
7	31
7	7
8	23
8	32
8	33
8	34
8	35
8	36
8	28
8	29
8	37
9	38
10	15
10	39
10	40
10	41
10	42
11	12
11	43
11	44
11	41
11	38
11	27
11	45
11	46
12	47
13	15
13	8
13	25
13	27
13	48
13	49
13	45
13	50
14	51
14	52
14	15
14	53
14	10
13	54
13	55
13	15
13	39
13	56
13	57
13	41
13	25
13	58
13	59
13	60
13	48
13	49
13	45
13	61
13	50
15	62
15	15
15	16
15	63
15	35
15	64
15	65
15	66
15	18
9	32
9	16
9	67
9	68
16	60
17	32
17	15
17	24
17	69
17	2
17	38
17	70
17	71
17	46
18	23
18	72
18	15
18	73
18	67
18	74
18	2
18	75
18	25
18	76
18	77
18	78
18	61
11	51
11	79
11	15
11	80
11	81
11	82
11	27
11	83
11	84
11	85
11	86
11	87
19	88
20	52
21	0
21	54
21	15
21	16
21	89
21	25
21	64
22	90
22	91
22	92
22	25
22	93
22	35
22	26
22	94
23	95
23	15
23	96
24	54
24	97
24	16
24	39
24	98
24	27
25	99
25	51
25	15
25	100
25	101
25	89
25	26
25	10
25	102
25	71
26	23
26	11
26	103
26	8
26	104
26	41
26	105
26	106
26	26
26	36
26	107
26	18
27	108
27	109
27	110
27	83
27	111
28	23
28	67
28	112
28	27
28	113
28	114
28	111
28	115
29	12
29	15
29	88
29	46
30	33
31	116
31	117
31	15
31	118
31	119
31	120
31	75
31	41
31	121
31	83
31	78
23	24
23	69
23	67
23	122
23	77
23	86
23	17
32	73
32	123
33	124
33	95
33	125
33	126
33	127
33	128
33	129
33	60
33	130
33	48
33	131
33	132
33	37
33	50
34	23
34	27
34	133
34	76
34	134
34	135
35	11
35	24
35	9
35	118
35	91
35	136
35	41
35	137
35	138
35	139
35	66
35	18
36	0
36	103
36	54
36	15
36	8
36	67
36	80
36	2
36	3
36	4
36	38
36	5
36	6
37	140
37	127
37	88
37	60
38	141
38	54
38	142
38	143
38	59
38	17
38	61
1	144
1	73
1	145
39	146
40	15
40	100
40	24
40	80
40	147
40	28
40	30
40	102
40	37
41	15
41	16
24	148
24	149
24	150
42	0
42	151
42	15
42	101
42	152
42	2
42	153
42	154
42	5
42	6
42	155
42	46
43	23
43	105
43	59
43	26
43	27
43	146
43	18
44	15
44	156
44	16
44	67
44	41
44	30
45	144
45	96
45	60
45	131
23	15
23	80
23	4
23	157
23	86
46	127
46	60
46	158
47	15
47	126
47	159
47	58
47	160
47	27
47	77
47	60
47	48
47	131
47	17
48	161
48	162
48	119
48	163
48	16
48	89
48	81
48	120
48	75
48	41
48	77
48	60
48	78
48	17
48	164
49	32
49	116
49	24
49	9
49	136
49	57
49	68
49	41
49	27
49	45
49	18
50	116
50	165
50	95
50	96
50	27
50	83
50	85
24	23
24	54
24	39
24	2
24	166
24	6
24	46
51	24
51	84
51	85
52	69
23	95
23	39
23	40
23	48
23	85
8	0
8	167
8	32
8	73
8	168
8	169
8	16
8	170
8	39
8	171
8	40
8	172
8	33
8	173
8	153
8	36
8	174
8	175
8	60
8	130
8	176
53	177
53	23
53	47
53	44
53	120
53	25
53	59
53	29
53	48
53	49
9	178
46	149
46	109
46	16
46	91
46	98
46	27
13	15
13	8
13	76
13	179
13	45
4	180
4	32
4	101
4	16
4	181
4	78
4	17
52	16
52	67
52	88
52	76
54	109
54	106
54	182
54	27
54	83
34	23
34	183
34	120
34	27
34	133
34	76
34	29
34	113
34	114
34	78
34	115
26	23
26	109
26	184
26	185
26	41
26	105
26	106
43	99
43	186
43	143
43	187
43	28
4	108
4	73
4	16
4	60
24	15
24	8
24	26
24	45
24	46
55	75
55	188
56	116
56	15
56	53
56	189
56	68
56	38
57	180
57	190
57	103
57	54
57	162
57	100
57	8
57	9
57	90
57	16
57	67
57	40
57	120
57	33
57	191
57	186
57	173
57	192
57	193
57	194
57	195
57	129
57	181
57	94
57	102
57	37
57	17
57	87
58	180
58	67
58	181
58	10
58	49
16	165
16	16
16	89
16	33
16	153
16	83
59	15
59	8
59	196
59	75
59	41
59	59
59	60
59	130
59	50
55	197
55	2
55	198
55	85
55	17
55	87
60	54
